text,label
I feel very sad and hopeless,negative
This is the worst day ever,negative
I am stressed and worried,negative
I feel anxious about exams,negative
I feel lonely and tired,negative
Nothing is going right,negative
I feel broken inside,negative
I am overwhelmed with problems,negative
Life feels meaningless today,negative
I am exhausted and frustrated,negative
I feel nervous and scared,negative
Everything is falling apart,negative
I feel depressed and drained,negative
I am afraid of failing,negative
I feel terrible about myself,negative
I cannot handle this stress,negative
I feel abandoned and ignored,negative
I feel stuck and hopeless,negative
I am unhappy and disappointed,negative
I feel miserable today,negative
I am extremely happy today,positive
Life is beautiful and calm,positive
I feel confident and strong,positive
Everything is going great,positive
I feel peaceful and relaxed,positive
I am excited about my future,positive
Today was an amazing day,positive
I feel motivated and energetic,positive
I am proud of myself,positive
I feel joyful and grateful,positive
Everything is working out well,positive
I feel optimistic and hopeful,positive
I am satisfied with my progress,positive
I feel loved and supported,positive
I am calm and centered,positive
I feel refreshed and positive,positive
I am grateful for today,positive
Life feels wonderful,positive
I feel happy and relaxed,positive
I am confident about tomorrow,positive
